drug_name,dosage_name,is_specialty
Actemra,Actemra INJ 162MG/0.9ML,True
Actemra,Actemra SOLN 200MG/10ML,True
Actemra,Actemra SOLN 400MG/20ML,True
Actemra,Actemra SOLN 80MG/4ML,True
Adbry,Adbry INJ 150MG/ML,True
Adbry,Adbry SOLN AUTO-INJ 300MG/2ML,True
Adempas,Adempas TAB 2.5MG,True
Adempas,Adempas TAB 1MG,True
Adempas,Adempas TAB 1.5MG,True
Adempas,Adempas TAB 2MG,True
Adempas,Adempas TAB 0.5MG,True
Admelog Solostar,Admelog Solostar INJ 100UNIT/ML,True
Aimovig,Aimovig SOLN AUTO-INJ 70MG/ML,True
Aimovig,Aimovig SOLN AUTO-INJ 140MG/ML,True
Ajovy,Ajovy SOLN AUTO-INJ 225MG/1.5ML,True
Ajovy,Ajovy INJ 225MG/1.5ML,True
Aldurazyme,Aldurazyme SOLN 2.9MG/5ML,True
Alecensa,Alecensa CAP 150MG,True
Apidra Solostar,Apidra Solostar INJ 100UNIT/ML,True
Basaglar Kwikpen,Basaglar Kwikpen INJ 100UNIT/ML,True
Benlysta,Benlysta INJ 200MG/ML,True
Benlysta,Benlysta SOLN AUTO-INJ 200MG/ML,True
Benlysta,Benlysta SOLN 120MG,True
Benlysta,Benlysta SOLN 400MG,True
Biktarvy,Biktarvy TAB 30-120-15MG,True
Biktarvy,Biktarvy TAB 50-200-25MG,True
Bosulif,Bosulif TAB 400MG,True
Bosulif,Bosulif CAP 100MG,True
Bosulif,Bosulif TAB 100MG,True
Bydureon,Bydureon PEN 2MG,True
Cabenuva,Cabenuva INJ 600 & 900MG/3ML,True
Cabenuva,Cabenuva INJ 400 & 600MG/2ML,True
Cimzia,Cimzia KIT 2 X 200MG,True
Cladribine,Cladribine SOLN 10MG/10ML,True
Copaxone,Copaxone INJ 20MG/ML,True
Copaxone,Copaxone INJ 40MG/ML,True
Cosentyx,Cosentyx INJ 75MG/0.5ML,True
Cosentyx,Cosentyx INJ 150MG/ML,True
Cyclosporine,Cyclosporine EMUL 0.05%,True
Cyclosporine,Cyclosporine SOLN 50MG/ML,True
Cyclosporine,Cyclosporine CAP 25MG,True
Cyclosporine,Cyclosporine CAP 100MG,True
Dasatinib,Dasatinib TAB 100MG,True
Dasatinib,Dasatinib TAB 20MG,True
Descovy,Descovy TAB 200-25MG,True
Dimethyl Fumarate,Dimethyl Fumarate CAP DR 240 MG,True
Dimethyl Fumarate,Dimethyl Fumarate MISC 120 & 240MG,True
Dimethyl Fumarate,Dimethyl Fumarate CAP DR 120 MG,True
Dovato,Dovato TAB 50-300MG,True
